genre,avg(m.Budget),avg(m.gsgross),ratio
Documentary,120000,16715444.6,139.2953717
Film-Noir,802882.3833,2869758.333,3.574319717
Fantasy,19108655.17,47159016.23,2.467940094
Family,13140017.37,32141000.88,2.446039452
Animation,20339210.53,47829135.03,2.351572838
Music,9658859.155,21973164.25,2.274923353
Adventure,18439599.68,41931059.14,2.273967974
Drama,9001782.524,20108198.22,2.233801824
Sport,11289935.63,23846700.22,2.112208697
History,8683725.579,18119870.2,2.086647032
Romance,8702181.171,17542184.48,2.015837655
Comedy,10709265.01,21354825.04,1.994051413
Sci-Fi,27715329.63,52510881.67,1.894651169
Biography,10470759.04,19682427.22,1.879751711
War,6927231.163,12607873.67,1.820045177
Action,26250276.1,44534974.49,1.696552613
Western,5252459.691,8054681.758,1.53350663
Horror,11324538.15,17132443.33,1.512860224
Crime,15743964.42,23097793.08,1.46708875
Thriller,21449576.75,28691361.32,1.337618996
Mystery,13547789.91,17179950.36,1.26809985
Short,0,21097223,0
